"scientific_name";"valid_name";"aphia_id";"AphiaID";"genus";"family";"order";"class";"phylum"
"Sepia elegans";"Sepia elegans";"141443";141443;"Sepia";"Sepiidae";"Sepiida";"Cephalopoda";"Mollusca"
"Sepia orbignyana";"Sepia orbignyana";"141445";141445;"Sepia";"Sepiidae";"Sepiida";"Cephalopoda";"Mollusca"
"Eledone cirrhosa";"Eledone cirrhosa";"140600";140600;"Eledone";"Eledonidae";"Octopoda";"Cephalopoda";"Mollusca"
"Octopus vulgaris";"Octopus vulgaris";"140605";140605;"Octopus";"Octopodidae";"Octopoda";"Cephalopoda";"Mollusca"
"Sepiola";"Sepiola";"138483";138483;"Sepiola";"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
"Sepia officinalis";"Sepia officinalis";"141444";141444;"Sepia";"Sepiidae";"Sepiida";"Cephalopoda";"Mollusca"
"Rossia macrosoma";"Rossia macrosoma";"141449";141449;"Rossia";"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
"Octopus";"Octopus";"138268";138268;"Octopus";"Octopodidae";"Octopoda";"Cephalopoda";"Mollusca"
"Bathypolypus sponsalis";"Bathypolypus sponsalis";"140598";140598;"Bathypolypus";"Bathypolypodidae";"Octopoda";"Cephalopoda";"Mollusca"
"Octopodidae";"Octopodidae";"11782";11782;NA;"Octopodidae";"Octopoda";"Cephalopoda";"Mollusca"
"Sepiola atlantica";"Sepiola atlantica";"141454";141454;"Sepiola";"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
"Sepiolidae";"Sepiolidae";"11725";11725;NA;"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
"Rondeletiola minor";"Rondeletiola minor";"141448";141448;"Rondeletiola";"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
"Sepietta oweniana";"Sepietta oweniana";"141452";141452;"Sepietta";"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
"Sepietta neglecta";"Sepietta neglecta";"141450";141450;"Sepietta";"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
"Sepiola ligulata";"Adinaefiola ligulata";"141457";141457;"Sepiola";"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
"Sepiola pfefferi";"Adinaefiola pfefferi";"342204";342204;"Sepiola";"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
"Sepiola tridens";"Sepiola tridens";"494117";494117;"Sepiola";"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
"Octopus salutii";"Octopus salutii";"140604";140604;"Octopus";"Octopodidae";"Octopoda";"Cephalopoda";"Mollusca"
"Sepia";"Sepia";"138477";138477;"Sepia";"Sepiidae";"Sepiida";"Cephalopoda";"Mollusca"
"Scaeurgus unicirrhus";"Scaeurgus unicirrhus";"140607";140607;"Scaeurgus";"Octopodidae";"Octopoda";"Cephalopoda";"Mollusca"
"Stoloteuthis leucoptera";"Stoloteuthis leucoptera";"157037";157037;"Stoloteuthis";"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
"Neorossia caroli";"Neorossia caroli";"141447";141447;"Neorossia";"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
"Macrotritopus defilippi";"Macrotritopus defilippi";"534126";534126;"Macrotritopus";"Octopodidae";"Octopoda";"Cephalopoda";"Mollusca"
"Sepietta";"Sepietta";"138482";138482;"Sepietta";"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
"Opisthoteuthis calypso";"Opisthoteuthis calypso";"153067";153067;"Opisthoteuthis";"Opisthoteuthidae";"Octopoda";"Cephalopoda";"Mollusca"
"Rossia palpebrosa";"Rossia palpebrosa";"153083";153083;"Rossia";"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
"Rossia";"Rossia";"138481";138481;"Rossia";"Sepiolidae";"Sepiida";"Cephalopoda";"Mollusca"
