"scientific_name";"valid_name";"aphia_id";"AphiaID";"genus";"family";"order";"class";"phylum"
"Nereididae";NA;NA;22496;NA;"Nereididae";"Phyllodocida";"Polychaeta";"Annelida"
"Munida";"Munida";"106835";106835;"Munida";"Munididae";"Decapoda";"Malacostraca";"Arthropoda"
"Nephrops norvegicus";"Nephrops norvegicus";"107254";107254;"Nephrops";"Nephropidae";"Decapoda";"Malacostraca";"Arthropoda"
"Cancer pagurus";"Cancer pagurus";"107276";107276;"Cancer";"Cancridae";"Decapoda";"Malacostraca";"Arthropoda"
"Homarus gammarus";"Homarus gammarus";"107253";107253;"Homarus";"Nephropidae";"Decapoda";"Malacostraca";"Arthropoda"
"Necora puber";"Necora puber";"107398";107398;"Necora";"Polybiidae";"Decapoda";"Malacostraca";"Arthropoda"
"Aequipecten opercularis";"Aequipecten opercularis";"140687";140687;"Aequipecten";"Pectinidae";"Pectinida";"Bivalvia";"Mollusca"
"Paromola cuvieri";"Paromola cuvieri";"107264";107264;"Paromola";"Homolidae";"Decapoda";"Malacostraca";"Arthropoda"
"Maja brachydactyla";"Maja brachydactyla";"107347";107347;"Maja";"Majidae";"Decapoda";"Malacostraca";"Arthropoda"
"Pecten maximus";"Pecten maximus";"140712";140712;"Pecten";"Pectinidae";"Pectinida";"Bivalvia";"Mollusca"
"Crangon crangon";"Crangon crangon";"107552";107552;"Crangon";"Crangonidae";"Decapoda";"Malacostraca";"Arthropoda"
"Palaemon serratus";"Palaemon serratus";"107616";107616;"Palaemon";"Palaemonidae";"Decapoda";"Malacostraca";"Arthropoda"
"Ostrea edulis";"Ostrea edulis";"140658";140658;"Ostrea";"Ostreidae";"Ostreida";"Bivalvia";"Mollusca"
"Palinurus elephas";"Palinurus elephas";"107703";107703;"Palinurus";"Palinuridae";"Decapoda";"Malacostraca";"Arthropoda"
"Cancer bellianus";"Cancer bellianus";"107275";107275;"Cancer";"Cancridae";"Decapoda";"Malacostraca";"Arthropoda"
"Palinurus mauritanicus";"Palinurus mauritanicus";"107704";107704;"Palinurus";"Palinuridae";"Decapoda";"Malacostraca";"Arthropoda"
"Chaceon maritae";"Chaceon maritae";"234117";234117;"Chaceon";"Geryonidae";"Decapoda";"Malacostraca";"Arthropoda"
"Mimachlamys varia";"Mimachlamys varia";"236719";236719;"Mimachlamys";"Pectinidae";"Pectinida";"Bivalvia";"Mollusca"
"Geryon";"Geryon";"106918";106918;"Geryon";"Geryonidae";"Decapoda";"Malacostraca";"Arthropoda"
"Magallana gigas";"Magallana gigas";"836033";836033;"Magallana";"Ostreidae";"Ostreida";"Bivalvia";"Mollusca"
"Polycheles typhlops";"Polycheles typhlops";"107696";107696;"Polycheles";"Polychelidae";"Decapoda";"Malacostraca";"Arthropoda"
