"scientific_name";"valid_name";"aphia_id";"AphiaID";"genus";"family";"order";"class";"phylum"
"Solea solea";"Solea solea";"127160";127160;"Solea";"Soleidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Raja clavata";"Raja clavata";"105883";105883;"Raja";"Rajidae";"Rajiformes";"Elasmobranchii";"Chordata"
"Arnoglossus laterna";"Arnoglossus laterna";"127126";127126;"Arnoglossus";"Bothidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Arnoglossus thori";"Arnoglossus thori";"127128";127128;"Arnoglossus";"Bothidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Boops boops";"Boops boops";"127047";127047;"Boops";"Sparidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Buglossidium luteum";"Buglossidium luteum";"127153";127153;"Buglossidium";"Soleidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Chelidonichthys cuculus";"Chelidonichthys cuculus";"127259";127259;"Chelidonichthys";"Triglidae";"Perciformes";"Actinopteri";"Chordata"
"Conger conger";"Conger conger";"126285";126285;"Conger";"Congridae";"Anguilliformes";"Actinopteri";"Chordata"
"Dicologlossa cuneata";"Dicologlossa cuneata";"127154";127154;"Dicologlossa";"Soleidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Echiichthys vipera";"Echiichthys vipera";"150630";150630;"Echiichthys";"Trachinidae";"Perciformes";"Actinopteri";"Chordata"
"Merluccius merluccius";"Merluccius merluccius";"126484";126484;"Merluccius";"Merlucciidae";"Gadiformes";"Actinopteri";"Chordata"
"Trachinus draco";"Trachinus draco";"127082";127082;"Trachinus";"Trachinidae";"Perciformes";"Actinopteri";"Chordata"
"Trisopterus luscus";"Trisopterus luscus";"126445";126445;"Trisopterus";"Gadidae";"Gadiformes";"Actinopteri";"Chordata"
"Trisopterus minutus";"Trisopterus minutus";"126446";126446;"Trisopterus";"Gadidae";"Gadiformes";"Actinopteri";"Chordata"
"Chelidonichthys lucerna";"Chelidonichthys lucerna";"127262";127262;"Chelidonichthys";"Triglidae";"Perciformes";"Actinopteri";"Chordata"
"Lithognathus mormyrus";"Lithognathus mormyrus";"127055";127055;"Lithognathus";"Sparidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Liza ramada";"Chelon ramada";"126980";126980;"Liza";"Mugilidae";"Mugiliformes";"Actinopteri";"Chordata"
"Mullus surmuletus";"Mullus surmuletus";"126986";126986;"Mullus";"Mullidae";"Mulliformes";"Actinopteri";"Chordata"
"Pagellus acarne";"Pagellus acarne";"127057";127057;"Pagellus";"Sparidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Pegusa lascaris";"Pegusa lascaris";"127156";127156;"Pegusa";"Soleidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Scophthalmus rhombus";"Scophthalmus rhombus";"127150";127150;"Scophthalmus";"Scophthalmidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Spondyliosoma cantharus";"Spondyliosoma cantharus";"127066";127066;"Spondyliosoma";"Sparidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Umbrina canariensis";"Umbrina canariensis";"127011";127011;"Umbrina";"Sciaenidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Balistes capriscus";"Balistes capriscus";"154721";154721;"Balistes";"Balistidae";"Tetraodontiformes";"Actinopteri";"Chordata"
"Callionymus lyra";"Callionymus lyra";"126792";126792;"Callionymus";"Callionymidae";"Callionymiformes";"Actinopteri";"Chordata"
"Callionymus maculatus";"Callionymus maculatus";"126793";126793;"Callionymus";"Callionymidae";"Callionymiformes";"Actinopteri";"Chordata"
"Cepola macrophthalma";"Cepola macrophthalma";"126835";126835;"Cepola";"Cepolidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Eutrigla gurnardus";"Eutrigla gurnardus";"150637";150637;"Eutrigla";"Triglidae";"Perciformes";"Actinopteri";"Chordata"
"Gadiculus argenteus";"Gadiculus argenteus";"126435";126435;"Gadiculus";"Gadidae";"Gadiformes";"Actinopteri";"Chordata"
"Gaidropsarus vulgaris";"Gaidropsarus vulgaris";"126458";126458;"Gaidropsarus";"Lotidae";"Gadiformes";"Actinopteri";"Chordata"
"Lophius budegassa";"Lophius budegassa";"126554";126554;"Lophius";"Lophiidae";"Lophiiformes";"Actinopteri";"Chordata"
"Microchirus variegatus";"Microchirus variegatus";"274304";274304;"Microchirus";"Soleidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Micromesistius poutassou";"Micromesistius poutassou";"126439";126439;"Micromesistius";"Gadidae";"Gadiformes";"Actinopteri";"Chordata"
"Pomatoschistus minutus";"Pomatoschistus minutus";"126928";126928;"Pomatoschistus";"Gobiidae";"Gobiiformes";"Actinopteri";"Chordata"
"Lepidorhombus whiffiagonis";"Lepidorhombus whiffiagonis";"127146";127146;"Lepidorhombus";"Scophthalmidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Lophius piscatorius";"Lophius piscatorius";"126555";126555;"Lophius";"Lophiidae";"Lophiiformes";"Actinopteri";"Chordata"
"Scyliorhinus canicula";"Scyliorhinus canicula";"105814";105814;"Scyliorhinus";"Scyliorhinidae";"Carcharhiniformes";"Elasmobranchii";"Chordata"
"Zeus faber";"Zeus faber";"127427";127427;"Zeus";"Zeidae";"Zeiformes";"Actinopteri";"Chordata"
"Helicolenus dactylopterus";"Helicolenus dactylopterus";"127251";127251;"Helicolenus";"Sebastidae";"Perciformes";"Actinopteri";"Chordata"
"Lepidorhombus boscii";"Lepidorhombus boscii";"127145";127145;"Lepidorhombus";"Scophthalmidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Molva molva";"Molva molva";"126461";126461;"Molva";"Lotidae";"Gadiformes";"Actinopteri";"Chordata"
"Trigla lyra";"Trigla lyra";"127266";127266;"Trigla";"Triglidae";"Perciformes";"Actinopteri";"Chordata"
"Bathysolea profundicola";"Bathysolea profundicola";"127152";127152;"Bathysolea";"Soleidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Galeus melastomus";"Galeus melastomus";"105812";105812;"Galeus";"Pentanchidae";"Carcharhiniformes";"Elasmobranchii";"Chordata"
"Malacocephalus laevis";"Malacocephalus laevis";"272392";272392;"Malacocephalus";"Macrouridae";"Gadiformes";"Actinopteri";"Chordata"
"Phycis blennoides";"Phycis blennoides";"126501";126501;"Phycis";"Phycidae";"Gadiformes";"Actinopteri";"Chordata"
"Labrus mixtus";"Labrus mixtus";"151501";151501;"Labrus";"Labridae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Serranus";"Serranus";"126070";126070;"Serranus";"Serranidae";"Perciformes";"Actinopteri";"Chordata"
"Merlangius merlangus";"Merlangius merlangus";"126438";126438;"Merlangius";"Gadidae";"Gadiformes";"Actinopteri";"Chordata"
"Sparus aurata";"Sparus aurata";"151523";151523;"Sparus";"Sparidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Aphia minuta";"Aphia minuta";"126868";126868;"Aphia";"Gobiidae";"Gobiiformes";"Actinopteri";"Chordata"
"Chelidonichthys obscurus";"Chelidonichthys obscurus";"127263";127263;"Chelidonichthys";"Triglidae";"Perciformes";"Actinopteri";"Chordata"
"Hyperoplus immaculatus";"Hyperoplus immaculatus";"126755";126755;"Hyperoplus";"Ammodytidae";"Perciformes";"Actinopteri";"Chordata"
"Pagrus pagrus";"Pagrus pagrus";"127063";127063;"Pagrus";"Sparidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Argyrosomus regius";"Argyrosomus regius";"127007";127007;"Argyrosomus";"Sciaenidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Torpedo marmorata";"Torpedo marmorata";"271684";271684;"Torpedo";"Torpedinidae";"Torpediniformes";"Elasmobranchii";"Chordata"
"Hippocampus hippocampus";"Hippocampus hippocampus";"127380";127380;"Hippocampus";"Syngnathidae";"Syngnathiformes";"Actinopteri";"Chordata"
"Scophthalmus maximus";"Scophthalmus maximus";"127149";127149;"Scophthalmus";"Scophthalmidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Arnoglossus imperialis";"Arnoglossus imperialis";"127124";127124;"Arnoglossus";"Bothidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Leucoraja naevus";"Leucoraja naevus";"105876";105876;"Leucoraja";"Rajidae";"Rajiformes";"Elasmobranchii";"Chordata"
"Echiodon drummondii";"Echiodon drummondii";"126663";126663;"Echiodon";"Carapidae";"Ophidiiformes";"Actinopteri";"Chordata"
"Dicentrarchus labrax";"Dicentrarchus labrax";"126975";126975;"Dicentrarchus";"Moronidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Pagellus erythrinus";"Pagellus erythrinus";"127060";127060;"Pagellus";"Sparidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Pleuronectes platessa";"Pleuronectes platessa";"127143";127143;"Pleuronectes";"Pleuronectidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Hyperoplus lanceolatus";"Hyperoplus lanceolatus";"126756";126756;"Hyperoplus";"Ammodytidae";"Perciformes";"Actinopteri";"Chordata"
"Lepidion eques";"Lepidion eques";"126493";126493;"Lepidion";"Moridae";"Gadiformes";"Actinopteri";"Chordata"
"Notoscopelus kroyeri";"Notoscopelus kroyeri";"272728";272728;"Notoscopelus";"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
